         1584889 function calls (1445912 primitive calls) in 5.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.023    0.023 applications.py:48(FastAPI)
     2701    0.008    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        1    0.000    0.000    0.023    0.023 __init__.py:111(__go)
        1    0.001    0.001    0.023    0.023 routing.py:595(APIRouter)
        3    0.000    0.000    0.023    0.008 parser.py:1(<module>)
        3    0.000    0.000    0.023    0.008 connection.py:1(<module>)
      255    0.002    0.000    0.023    0.000 typing.py:1719(__getitem__)
        1    0.000    0.000    0.023    0.023 sources.py:979(__init__)
        1    0.000    0.000    0.023    0.023 sources.py:1007(_load_env_vars)
        1    0.000    0.000    0.023    0.023 sources.py:1034(_read_env_files)
      328    0.008    0.000    0.023    0.000 enum.py:251(__set_name__)
        1    0.000    0.000    0.022    0.022 sources.py:1022(_read_env_file)
        1    0.000    0.000    0.022    0.022 sources.py:1010(_static_read_env_file)
     1653    0.007    0.000    0.022    0.000 _typing_extra.py:77(is_literal)
     4601    0.015    0.000    0.022    0.000 _typing_extra.py:393(origin_is_union)
        1    0.000    0.000    0.022    0.022 main.py:359(dotenv_values)
        1    0.000    0.000    0.022    0.022 main.py:68(dict)
        1    0.000    0.000    0.022    0.022 main.py:232(resolve_variables)
     3191    0.008    0.000    0.022    0.000 {method 'update' of 'dict' objects}
       40    0.004    0.000    0.022    0.001 {built-in method _imp.exec_dynamic}
     2731    0.012    0.000    0.022    0.000 dataclasses.py:1331(is_dataclass)
        1    0.000    0.000    0.022    0.022 array.py:371(register_all_arrays)
        1    0.000    0.000    0.021    0.021 _has_cy.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _has_cy.py:13(_import_cy_extensions)
    14181    0.021    0.000    0.021    0.000 {method 'pop' of 'dict' objects}
3429/2960    0.010    0.000    0.021    0.000 typing.py:1443(__hash__)
        1    0.000    0.000    0.021    0.021 notes.py:1(<module>)
        4    0.001    0.000    0.021    0.005 errors.py:1(<module>)
        1    0.000    0.000    0.020    0.020 defaults.py:1(<module>)
